"year","yearType","zone","age","gender","cause","measure","value"
"2007","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",3
"2013","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",3
"2001","Calendar Year","S01001790","All","All","All","Count",7
"2008","Calendar Year","S01001790","All","All","All","Count",5
"2003","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",3
"2010","Calendar Year","S01001790","All","All","All","Count",6
"2002","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",7
"2008","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",7
"2004","Calendar Year","S01001790","All","All","All","Count",2
"2006","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",5
"2002","Calendar Year","S01001790","All","All","All","Count",7
"2014","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",3
"2013","Calendar Year","S01001790","All","All","All","Count",2
"2004","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",2
"2009","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",3
"2007","Calendar Year","S01001790","All","All","All","Count",7
"2012","Calendar Year","S01001790","All","All","All","Count",4
"2010","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",7
"2005","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",4
"2009","Calendar Year","S01001790","All","All","All","Count",3
"2011","Calendar Year","S01001790","All","All","All","Count",7
"2011","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",5
"2003","Calendar Year","S01001790","All","All","All","Count",2
"2006","Calendar Year","S01001790","All","All","All","Count",4
"2012","Mid-Previous To Mid-Specified Year","S01001790","All","All","All","Count",4
"2005","Calendar Year","S01001790","All","All","All","Count",4
"2004","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",1
"2005","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",3
"2006","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",2
"2007","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",1
"2008","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",4
"2009","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",1
"2010","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",1
"2011","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",4
"2012","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",1
"2013","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",2
"2003","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",1
"2002","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",4
"2001","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",5
"2014","Mid-Previous To Mid-Specified Year","S01001790","All","Male","All","Count",2
"2004","Calendar Year","S01001790","All","Male","All","Count",0
"2010","Calendar Year","S01001790","All","Male","All","Count",2
"2005","Calendar Year","S01001790","All","Male","All","Count",3
"2011","Calendar Year","S01001790","All","Male","All","Count",4
"2002","Calendar Year","S01001790","All","Male","All","Count",5
"2006","Calendar Year","S01001790","All","Male","All","Count",2
"2003","Calendar Year","S01001790","All","Male","All","Count",1
"2007","Calendar Year","S01001790","All","Male","All","Count",3
"2012","Calendar Year","S01001790","All","Male","All","Count",2
"2008","Calendar Year","S01001790","All","Male","All","Count",3
"2009","Calendar Year","S01001790","All","Male","All","Count",0
"2001","Calendar Year","S01001790","All","Male","All","Count",3
"2013","Calendar Year","S01001790","All","Male","All","Count",1
"2012","Mid-Previous To Mid-Specified Year","S01001790","All","Female","All","Count",3
"2006","Mid-Previous To Mid-Specified Year","S01001790","All","Female","All","Count",3
"2006","Calendar Year","S01001790","All","Female","All","Count",2
"2011","Mid-Previous To Mid-Specified Year","S01001790","All","Female","All","Count",1
"2001","Calendar Year","S01001790","All","Female","All","Count",4
"2005","Mid-Previous To Mid-Specified Year","S01001790","All","Female","All","Count",1
"2007","Calendar Year","S01001790","All","Female","All","Count",4
